time, dry1, wett1, dry2, wett2, sensor1, sensor2, averageinprocent, moisturestartprocent, starthour, endhour, temperature, jobcounter, maxjobs, wateringduration, pauzeduration, lastwateringtime, ValveStatus, watergifttimer, pauzetimer, outputread, errorflag,
0:01:37,795,435,795,435,97,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:01:38,795,435,795,435,98,99,98,30,9,21,20.25,0,8,60,1,,0,0,0,0,0,
0:01:39,795,435,795,435,98,99,98,30,9,21,20.25,0,8,60,1,,0,0,0,0,0,
0:01:40,795,435,795,435,97,99,98,30,9,21,20.25,0,8,60,1,,0,0,0,0,0,
0:01:41,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:01:42,795,435,795,435,97,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:01:43,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:01:44,795,435,795,435,97,99,98,30,9,21,20.25,0,8,60,1,,0,0,0,0,0,
0:01:45,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:01:46,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:01:47,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:01:48,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:01:49,795,435,795,435,97,99,98,30,9,21,20.25,0,8,60,1,,0,0,0,0,0,
0:01:50,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:01:51,795,435,795,435,97,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:01:52,795,435,795,435,98,99,98,30,9,21,20.25,0,8,60,1,,0,0,0,0,0,
0:01:53,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:01:54,795,435,795,435,97,99,98,30,9,21,20.25,0,8,60,1,,0,0,0,0,0,
0:01:55,795,435,795,435,98,99,98,30,9,21,20.25,0,8,60,1,,0,0,0,0,0,
0:01:56,795,435,795,435,97,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:01:57,795,435,795,435,98,99,98,30,9,21,20.25,0,8,60,1,,0,0,0,0,0,
0:01:58,795,435,795,435,97,99,98,30,9,21,20.25,0,8,60,1,,0,0,0,0,0,
0:01:59,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:02:00,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:02:01,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:02:02,795,435,795,435,98,99,98,30,9,21,20.25,0,8,60,1,,0,0,0,0,0,
0:02:03,795,435,795,435,97,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:02:04,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:02:05,795,435,795,435,98,99,98,30,9,21,20.25,0,8,60,1,,0,0,0,0,0,
0:02:06,795,435,795,435,98,99,98,30,9,21,20.25,0,8,60,1,,0,0,0,0,0,
0:02:07,795,435,795,435,98,99,98,30,9,21,20.25,0,8,60,1,,0,0,0,0,0,
0:02:08,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:02:09,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:02:10,795,435,795,435,97,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:02:11,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:02:12,795,435,795,435,97,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:02:13,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:02:14,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:02:15,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:02:16,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:02:17,795,435,795,435,97,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:02:18,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:02:19,795,435,795,435,97,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:02:20,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:02:21,795,435,795,435,97,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:02:22,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:02:23,795,435,795,435,98,99,98,30,9,21,20.25,0,8,60,1,,0,0,0,0,0,
0:02:24,795,435,795,435,97,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:02:25,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:02:26,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:02:27,795,435,795,435,98,99,98,30,9,21,20.25,0,8,60,1,,0,0,0,0,0,
0:02:28,795,435,795,435,97,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:02:29,795,435,795,435,98,99,98,30,9,21,20.25,0,8,60,1,,0,0,0,0,0,
0:02:30,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:02:31,795,435,795,435,97,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:02:32,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:02:33,795,435,795,435,97,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:02:34,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:02:35,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:02:36,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:02:37,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:02:38,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:02:39,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:02:40,795,435,795,435,97,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:02:41,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:02:42,795,435,795,435,97,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:02:43,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:02:44,795,435,795,435,98,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
0:02:45,795,435,795,435,97,99,98,30,9,21,20.00,0,8,60,1,,0,0,0,0,0,
